Chemical,Synonyms,Category,FORMULA,CAS,Mass (Daltons),ComponentType,molType,Is Soluble,Solubility,Is_HAZARD,CODE,Risk No.,Safety phrases,"Flammable,Toxic/IrritantCorrosive",RefSampleName,SampleCategory,
CAPSO,3-(cyclohexylamino)-2-hydroxy-1-propanesulfonic acid; CAPSO Free Acid,Buffering agent,C9H19NO4S,76463-39-5,237.32,MolComp,other,Y,,,1,,"S22,S24/25",,CAPSO,"Buffer,Buffering Agent,Chemical/Biochemical"
carbenicillin disodium salt,alpha-Carboxybenzylpenicillin disodium salt;Geopen;Pyopen;Carindapen;Fugacillin;Microcillin;Anabactyl;Carbecin;Gripenin;Pyocianil;Pyoclox,Antibiotic,C17H16N2Na2O6S,4800-94-6,422.36,MolComp,other,Y,,Y,,R42/43,"S22,S36/37",Xn,Carbenicillin disodium salt,"Antibiotic,Chemical/Biochemical"
cesium bromide,,Salt,CsBr,7787-69-1,212.81,MolComp,other,Y,,Y,,R36/37/38,"S26,S36",Xi,Cesium bromide,Chemical/Biochemical,
cesium chloride,,"Salt,Additive",CsCl,7647-17-8,168.36,MolComp,other,Y,,,2,,S24/25,,Cesium chloride,Chemical/Biochemical,
cesium iodide,,Salt,CsI,7789-17-5,259.81,MolComp,other,Y,,Y,,"R36/37/38,R42/43","S22,S36/37,S45",Xn,Cesium iodide,Chemical/Biochemical,
cesium nitrate,,Salt,CsNO3,7789-18-6,194.91,MolComp,other,Y,,Y,,"R8,R36/37/38",S17,"O,Xi",Cesium nitrate,Chemical/Biochemical,
cesium sulphate,cesium sulfate,Salt,Cs2SO4,10294-54-9,361.87,MolComp,other,Y,,,,,"S22,S24/25",,Cesium sulfate,Chemical/Biochemical,
cetyltrimethylammonium chloride,Hexadecyltrimethylammonium chloride,Detergent,C19H42ClN,112-02-7,320,MolComp,other,,,Y,3,"R38,R41,R50","S26,S39,S60,S61",Xn,Cetyltrimethyl ammonium chloride,Detergent
CHAPS,3-[(3-cholamidopropyl)dimethylammonio]-1-propanesulfonate,Detergent,C32H58N2O7S,75621-03-3,614.9,MolComp,other,Y,,Y,3,R36/37/38,"S26,S36/37",Xi,CHAPS,Detergent
CHES,2-(cyclohexylamino)ethanesulfonic acid,Buffering agent,C8H17NO3S,103-47-9,207.29,MolComp,other,Y,,,,R36,S26,Xn,CHES,"Buffer,Buffering Agent,Chemical/Biochemical"
chloramine T hydrate,sodium p-toluenesulfonchloramide trihydrate; N-chloro-p-toluenesulfonamide sodium salt;  tosylchloramide sodium,Oxidising agent,C7H7ClNNaO2S.3H2O,127-65-1,227.64,MolComp,other,Y,,Y,2,"R22,R31,R34,R42","S7,S22,S26,S36/37/39,S45",C,Chloramine T hydrate,Chemical/Biochemical
chloramphenicol,"D(-)-threo-2,2-dichloro-N-[beta-hydroxy-alpha-(hydroxymethyl)-beta-(4-nitrophenyl)ethyl]acetamide; D-(-)-threo-2-dichloroacetamido-1-(4-nitrophenyl)-1,3-propanediol; D-threo-2,2-dichloro-N-[beta-hydroxy-alpha-(hydroxymethyl)-4-nitrophenethyl]acetamide; chloromycetin",Antibiotic,C11H12Cl2N2O5,56-75-7,323.13,MolComp,other,Y,,Y,3,"R45,R42/43","S53,S45,S36/37",T,Chloramphenicol,"Antibiotic,Chemical/Biochemical"
chloroform,"methylidyne trichloride,trichloromethane",Solvent,CHCl3,67-66-3,119.38,MolComp,other,,,Y,3,"R22,R38,R40,R48/20/22","S36,S37",Xn,Chloroform,Solvent
4 chloro-1-naphthol,chloronaphthol,Substrate,C10H7ClO,604-44-4,178.61,MolComp,other,Y,,Y,2,R36/37/38,"S26,S36",Xi,4 Chloro-1-naphthol,Substrate
